UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;factor;añoest;Informalidad;E01AIMDE;E01BIMDE;E01CIMDE;E01DDE;E01EDE;E01FDE;E01GDE;E01HDE;E01IDE;E01JDE;E01KDE;E01LDE;E01MDE;E01KJDE
26795;35;1;10;2;2024;1;131;1;56;1;6;4;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;8;8;8;8;8;8;0;0;1; ; ;12;0;0;5;12;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;5;1;8;40;40;40;1;1;1;329;16;2;30000000;0;0;0;0;0;0;5000000;0;0;0;0;0;0
6651;30;1;10;2;2024;6;36;1;73;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;12;12;12;12;12;12;12;1; ; ;54;0;0;2;54;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;6;1;84;84;84;1;1;1;183;12; ;28186334,77;0;0;0;0;0;0;0;0;0;0;0;0;0
13859;34;1;10;2;2024;1;81;1;62;1;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;6;6;6;6;6;6;6;1; ; ;20;0;0;4;20;0;0;1;1;1;30;88;3;25000000;5; ;25000000;6; ; ; ; ;1;1500000;5; ;1500000;1; ;2000000;1;1000000;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;4;5;3;42;42;42;1;1;1;238;9;2;26599325,337;0;0;0;0;0;0;0;0;0;0;0;0;0
1330;4;1;10;1;2024;1;1;1;71;1;1;1;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;0;5;0;0;5;0;0;1; ; ;35;0;0;11;30;0;0;6; ;2;30;5;4;25000000;5; ;25000000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;5;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;11;2;5;10;10;10;1;1;1;108;17;1;25093703,148;0;0;0;0;0;0;0;0;0;0;0;0;0
17129;3;1;10;2;2024;1;101;1;46;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;6;6;6;6;6;6;6;2; ;36;17;0;0;9;17;0;0;1;6;1;30;1;1;18000000;5; ;18000000;1;7000000;5;0; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;9;5;3;36;36;36;1;1;1;459;12;2;25000000;0;0;0;0;0;0;0;0;0;0;0;0;0
9919;14;1;10;2;2024;6;56;1;63;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;9;9;9;9;9;9;5;1; ; ;53;0;0;2;20;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;2;6;1;59;59;59;1;1;1;303;6; ;24366822,214;0;0;0;0;0;0;0;0;0;0;0;0;0
1330;32;1;10;1;2024;1;1;1;84;1;1;4;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;8;8;0;0;0;0;0;1; ; ;42;0;0;2;42;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;1;1;16;16;16;1;1;1;233;17; ;24243026,612;0;0;0;0;0;0;8029985,007;0;0;0;0;0;0
27992;19;1;10;2;2024;6;146;1;53;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;7;7;7;7;7;0;0;3;11;70;30;0;0;3;30;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;21;6; ; ;3;3;1;1;70;70;70;1;1;1;106;4; ;24199166,667;0;0;0;0;0;0;0;0;0;0;0;0;0
13859;6;1;10;2;2024;1;81;1;37;1;6;6;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;8;8;0;0;8;8;8;1; ; ;1;3;0;8;1;3;0;1;1;1;15;2;1;24000000;5; ;24000000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;1; ;1;1;8;3;3;40;40;40;1;1;1;165;15;2;24089955,022;0;0;0;0;0;0;0;0;0;0;0;0;0
27482;43;1;10;2;2024;1;141;1;44;1;1;1;1; ;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;3;3;3;3;3;3;3;1; ; ;23;0;0;2;23;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;6; ;6;1;1;8;2;1; ;4;6; ;1; ; ;6500000;5; ;6500000;6; ; ; ; ;3; ; ; ;0; ; ; ; ; ; ;6; ;6; ; ;3;2;1;5;21;23;23;1;1;1;192;18;1;24000000;6500000;0;0;0;0;0;4800000;0;0;0;0;0;0
11593;26;1;10;2;2024;6;76;1;40;1;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;8;6;6;4;8;6;0;3;1;48;25;0;0;2;20;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;6;1;48;48;48;1;1;1;341;15; ;23085537,731;0;0;0;0;0;0;0;0;0;0;0;0;0
2101;1;1;10;1;2024;1;1;4;32;6;6;1;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;8;8;8;8;8;8;0;0;1; ; ;6;0;0;11;6;0;0;1;1;2;18;2;4;22000000;5; ;22000000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;11;2;8;40;40;40;1;1;1;589;16;2;22082458,771;0;0;0;0;0;0;0;0;0;0;0;0;0
21709;84;1;10;2;2024;1;111;1;54;1;1;1;6;2;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;8;8;8;8;8;0;0;1; ; ;20;0;0;9;20;0;0;1;1;1;30;2;4;15480000;5; ;15480000;1;5821000;5;0; ;6; ; ; ; ;6; ; ;1;99999999999;1; ; ; ; ; ;1;2;8;12;1; ;9;1;2;1; ; ;3750000;5; ;3750000;6; ; ; ; ;1; ; ; ;0; ; ; ; ; ; ;6; ;1; ;1;1;9;2;3;40;52;52;1;1;1;1585;18;2;21380838,831;3764055,472;0;0;0;0;0;0;0;0;0;0;0;0
15862;40;1;10;2;2024;1;101;1;45;1;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;0;12;12;0;12;12;0;1; ; ;10;0;0;3;10;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;3;6;1;48;48;48;1;1;1;965;4; ;21206797,27;0;0;0;0;0;0;0;0;0;0;0;0;0
18843;26;1;10;2;2024;6;106;1;67;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;6;6;6;6;6;6;0;1; ; ;58;0;0;2;50;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;2;6;1;36;36;36;1;1;1;366;3; ;20665441,253;0;0;0;0;0;0;0;0;0;0;0;0;0
2760;27;1;10;1;2024;6;16;1;37;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;8;8;8;8;8;0;0;3;7;48;18;0;0;2;18;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;8;6; ; ;4;2;6;1;48;48;48;1;1;1;174;6; ;20599420,915;0;0;0;0;0;0;0;0;0;0;0;0;0
11593;17;1;10;2;2024;6;76;1;52;1;1;1;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;7;10;10;10;10;10;10;0;1; ; ;15;0;0;8;35;0;0;1;1;2;30;1;4;20000000;5; ;20000000;6; ; ; ; ;6; ; ; ; ;6; ; ;1;600000;1; ; ;1;4;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;8;1;7;60;60;60;1;1;1;199;17;2;20074962,519;0;0;0;0;0;0;0;0;0;0;0;0;0
