UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;Factor;Añoest;Informalidad;E01AIMDE;E01BIMDE;E01CIMDE;E01DDE;E01EDE;E01FDE;E01GDE;E01HDE;E01IDE;E01JDE;E01KDE;E01LDE;E01MDE;E01KJDE
3491;11;1;11;2;2024;1;21;1;67;1;6;5;1; ;6;6;6; ; ;6;5; ; ; ; ; ; ; ; ; ;1;9;8;7;10;2;0;0;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;385;9; ;0;0;0;0;0;2000000;0;0;0;0;0;0;0;0
3491;18;1;11;1;2024;1;21;1;49;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;8;8;8;8;8;8;0;0;1; ; ;25;0;0;4;25;0;0;1;2;1;45;2;2;6600000;5; ;6600000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;4;2;8;40;40;40;1;1;1;616;15;2;6600000;0;0;0;0;0;0;0;0;0;0;0;0;0
3491;18;1;11;1;2024;1;21;2;49;2;6;1;6;1;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;8;4;8;6;4;4;0;0;1; ; ;26;0;0;7;26;0;0;1;2;1;45;2;2;5400000;5; ;5400000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;1;2;8;14;1; ;7;1;2;1; ; ;2400000;5; ;2400000;6; ; ; ; ;1; ; ; ;0; ; ; ; ; ; ;1;4;6; ; ;1;7;2;8;26;40;40;1;1;1;616;15;2;5400000;2400000;0;0;0;0;0;0;0;0;0;0;0;0
3491;18;1;11;1;2024;1;21;3;13;3;1;5;6;1;6;6;6; ; ;6;4; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;616;7; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3491;20;1;11;1;2024;1;21;1;70;1;1;1;1; ;6;6;6; ; ;6;5; ; ; ; ; ; ; ; ; ;1;1;4;2;6;4;0;0;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;535;12; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3491;20;1;11;1;2024;1;21;2;67;2;6;1;6;1;6;6;6; ; ;6;5; ; ; ; ; ; ; ; ; ;1;4;5;7;11;32;0;0;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;535;12; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3491;20;1;11;1;2024;1;21;3;35;3;1;5;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;8;8;8;8;4;0;0;0;1; ; ;14;0;0;7;14;0;0;1;2;1;45;3;4;3900000;5; ;3900000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;12;1; ;6;1;7;2;8;28;28;28;4;4;1;535;16;2;3900000;0;0;0;0;0;0;0;0;0;0;0;0;0
3491;32;1;11;1;2024;1;21;1;39;1;1;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;8;0;0;6;4;8;0;0;1; ; ;11;0;0;4;11;0;0;1;2;1;45;4;1;3200000;5; ;3200000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;4;2;8;18;18;18;1;1;1;921;15;2;3200000;0;0;0;0;0;0;0;0;0;0;0;0;0
3491;36;1;11;2;2024;1;21;1;60;1;1;2;6;2;6;6;6; ; ;6;5; ; ; ; ; ; ; ; ; ;1;5;5;4;1;1;0;0;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;658;6; ;0;0;0;0;0;0;0;0;0;0;0;0;0;98333,333
3491;36;1;11;2;2024;1;21;2;51;2;6;2;1; ;6;6;6; ; ;6;3; ; ; ; ; ; ; ; ; ;1;5;5;4;1;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;658;6; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
